DATE,RCA_H,RCA_V,BASELINE
2018-10-20T00:00:04Z,-1.5523271114953092,-1.7299988788540688,0
2018-10-20T00:15:03Z,-1.5662064467508756,-1.9643065030068882,0
2018-10-20T00:30:03Z,-1.4675395645011091,-1.959917022045936,0
2018-10-20T00:45:03Z,-1.6824712845291003,-2.237833866158539,0
2018-10-20T01:00:03Z,-1.3693201890069844,-2.084543879090837,0
2018-10-20T01:15:03Z,-1.2635377257352405,-1.9221741576420683,0
2018-10-20T01:30:04Z,-1.343496553410553,-1.9989202065892464,0
2018-10-20T01:45:03Z,-1.269070956311772,-1.7819751991744468,0
2018-10-20T02:00:04Z,-1.3844274640525356,-2.605659235349002,0
2018-10-20T02:15:03Z,-1.485723287234073,-2.8426917279741417,0
2018-10-20T02:30:04Z,-1.3966504992543562,-2.503013972100142,0
2018-10-20T02:45:03Z,-1.528209433482978,-2.6672772888282665,0
2018-10-20T03:00:03Z,-1.5642637752222512,-2.834782957266988,0
2018-10-20T03:15:03Z,-1.544158427735141,-2.5672841225684238,0
2018-10-20T03:30:03Z,-1.3503039428554118,-1.9489428864791665,0
2018-10-20T03:45:03Z,-1.7291609191616075,-2.0803472412750565,0
2018-10-20T04:00:03Z,-1.636008981624414,-1.763981407791583,0
2018-10-20T04:15:04Z,-1.6660767457677608,-1.9169970229502555,0
2018-10-20T04:30:04Z,-1.7795742141181776,-2.423038721971204,0
2018-10-20T04:45:04Z,-1.7895659708412026,-2.5917455418533493,0
2018-10-20T05:00:04Z,-1.807683556013224,-2.557892958373856,0
2018-10-20T05:15:04Z,-1.4960474917050917,-2.58759372296079,0
2018-10-20T05:30:04Z,-1.7554744152120565,-2.3661368602187522,0
2018-10-20T05:45:04Z,-1.5618865637932158,-2.25468522140244,0
2018-10-20T06:00:04Z,-1.839567979847459,-2.0240173106320967,0
2018-10-20T06:15:04Z,-1.4499897732483118,-1.8146770923974809,0
2018-10-20T06:30:04Z,-1.4664402610364249,-2.54275981410978,0
2018-10-20T06:45:04Z,-1.7993057337283602,-2.333498344909593,0
2018-10-20T07:00:04Z,-1.4442757798667645,-2.32310313659886,0
2018-10-20T07:15:04Z,-1.8575979518866392,-2.3676425268545174,0
2018-10-20T07:30:04Z,-1.30651241793597,-2.242395825773841,0
2018-10-20T07:45:04Z,-1.5533295049765738,-2.1488029961834267,0
2018-10-20T08:00:04Z,-1.53969588455287,-2.0358002709199,0
2018-10-20T08:15:04Z,-1.8675059912660927,-2.5023794636864447,0
2018-10-20T08:30:04Z,-1.6796503116078156,-2.4514350181176425,0
2018-10-20T08:45:04Z,-1.5591691389835844,-2.0418136712170067,0
2018-10-20T09:00:04Z,-1.8850202929922448,-2.092638772238466,0
2018-10-20T09:15:04Z,-1.805325609064191,-2.8802023482234134,0
2018-10-20T09:30:04Z,-1.6593788651276211,-2.4522676541681747,0
2018-10-20T09:45:04Z,-1.5127236733059846,-2.6319487271337394,0
2018-10-20T10:00:04Z,-1.3433371899471425,-2.7461591209880893,0
2018-10-20T10:15:04Z,-1.9494540152523072,-2.651580815877729,0
2018-10-20T10:30:04Z,-2.67898859545479,-3.057176532883865,0
2018-10-20T10:45:04Z,-2.8558358883782944,-2.0622414124999366,0
2018-10-20T11:00:03Z,-2.8585922487653974,-2.1543010907321687,0
2018-10-20T11:15:04Z,-2.415093752499168,-2.280129550365708,0
2018-10-20T11:30:03Z,-2.3008557635780136,-2.7137711866185645,0
2018-10-20T11:45:03Z,-2.0111172736202505,-1.9659726897789085,0
